Metric,Value
Recall,0.414
FAR,0.198
Precision,0.414
Accuracy,0.712
F1 Score,0.41200000000000003
AOD_sex,-0.05
EOD_sex,-0.027999999999999997
SPD,0.054000000000000006
DI,0.026666666666666675
