Metric,Value
Recall,0.3188555556
FAR,0.1016666667
Precision,0.5280444444
Accuracy,0.8061888889
F1 Score,0.3586333333
AOD,0.0363647394
EOD,0.0450871052
SPD,0.1037950975
DI,1.127228672
