Metric,Value
Recall,0.4156888888888887
FAR,0.06057777777777782
Precision,0.6222666666666664
Accuracy,0.8157777777777785
F1 Score,0.48617777777777793
AOD_V5,-0.16031390134529133
EOD_V5,-0.3808071748878926
SPD,0.15262222222222227
DI,-6.247874999999999
