Metric,Value
Recall,0.8384444444444443
FAR,0.6153888888888884
Precision,0.6262222222222223
Accuracy,0.6344999999999997
F1 Score,0.7161666666666662
AOD_race,-0.019055555555555548
EOD_race,0.07816666666666663
SPD,0.11183333333333324
DI,0.13811111111111113
